latitude_deg,altitude,mean_vtheta
67.5,17.5,-0.037366
72.5,17.5,-0.025002
77.5,17.5,-0.044722
82.5,17.5,0.008729
87.5,17.5,0.027717
-87.5,18.5,-0.024516
-82.5,18.5,-0.039416
-77.5,18.5,-0.090936
-72.5,18.5,-0.013204
-67.5,18.5,-0.12067
-62.5,18.5,-0.020539
-57.5,18.5,-0.035213
-52.5,18.5,-0.048706
-47.5,18.5,-0.022619
-42.5,18.5,-0.009431
-37.5,18.5,-0.017191
-32.5,18.5,-0.005992
-27.5,18.5,-0.023474
-22.5,18.5,-0.026532
-17.5,18.5,-0.031593
-12.5,18.5,-0.001167
-7.5,18.5,0.00623
-2.5,18.5,0.007686
2.5,18.5,0.012442
7.5,18.5,0.024425
12.5,18.5,0.031042
17.5,18.5,0.037978
22.5,18.5,0.01807
27.5,18.5,0.019471
32.5,18.5,0.020934
37.5,18.5,0.017823
42.5,18.5,0.00816
47.5,18.5,-0.005587
52.5,18.5,0.017497
57.5,18.5,0.007838
62.5,18.5,-0.003455
67.5,18.5,-0.004844
72.5,18.5,-0.024215
77.5,18.5,-0.027246
82.5,18.5,-0.00999
87.5,18.5,0.04365
-87.5,19.5,0.006292
-82.5,19.5,0.012829
-77.5,19.5,-0.108069
-72.5,19.5,-0.134194
-67.5,19.5,0.008809
-62.5,19.5,-0.012317
-57.5,19.5,-0.067378
-52.5,19.5,-0.053039
-47.5,19.5,-0.026201
-42.5,19.5,-0.021262
-37.5,19.5,-0.014236
-32.5,19.5,-0.028912
-27.5,19.5,-0.014529
-22.5,19.5,-0.01504
-17.5,19.5,-0.01343
-12.5,19.5,-0.003654
-7.5,19.5,0.000659
-2.5,19.5,0.015252
2.5,19.5,0.020033
7.5,19.5,0.017776
12.5,19.5,0.032295
17.5,19.5,0.023739
22.5,19.5,0.026808
27.5,19.5,0.038302
32.5,19.5,0.017389
37.5,19.5,0.015849
42.5,19.5,0.012251
47.5,19.5,-0.000534
52.5,19.5,-0.007267
57.5,19.5,0.009914
62.5,19.5,0.015413
67.5,19.5,-0.02803
72.5,19.5,-0.058128
77.5,19.5,-0.04934
82.5,19.5,-0.157046
87.5,19.5,-0.033256
